13 Nodes # x y v
         0                  96.3525                   9.77953                        0
         1                  101.068                   203.811                        0
         2                  225.033                   203.138                        0
         3                  223.011                   78.4993                        0
         4                  354.153                   18.5139                        0
         5                  254.242                   58.3222                        0
         6                  390.058                   91.1056                        0
         7                  356.494                   266.731                        0
         8                  297.172                   187.894                        0
         9                  147.306                    90.325                        0
        10                    69.25                   290.147                        0
        11                  226.922                   269.072                        0
        12                  39.5889                   188.675                        0
17 segment #
0	1	0
1	0	3
2	3	1
3	1	2
4	2	3
5	4	6
6	6	5
7	5	8
8	8	6
9	6	7
10	7	11
11	11	8
12	8	9
13	9	12
14	12	10
15	10	11
16	11	12
